,Unnamed: 0,id_,tweet,d2v_avaliation,entropy
9007,9007,9007,@wally44 habt ihr am montag ne sammelbüchse für die hochwasserkatastrophe. würde ein scheinchen mehr zum dienst nehmen.,0,0.026768488763444582
9563,9563,9563,the river elbe flooded the town of desden before we arrived. this town and prague were under state of… http://t.co/ig2xhfwtsx,1,0.1761069445245729
9588,9588,9588,hinterm deich in #magdeburg. #hochwasser @ mdr sachsen-anhalt http://t.co/bzgz7p5ihv,1,0.15084648009611046
9658,9658,9658,i m at wihelmsburger elbdeich http://t.co/foccgfzmwj,0,0.12407799133266585
9660,9660,9660,hundewiese ist ein großer see. hund findet es okay. #dresden #elbufer #hochwasser @ trollgarten http://t.co/sqjwwban1t,1,0.026768488763444582
9688,9688,9688,#celiogermanydesk germany braces as flood waters surge north http://t.co/jovikltgqg,0,0.1761069445245729
9783,9783,9783,"nein!!! """"@mdr_san: #hochwasser: unwetterwarnung für den landkreis #wittenberg. regenmengen bis 40 liter/qm pro stunde, sturmböen und hagel.""",1,0.026768488763444582
9789,9789,9789,"solche pumpen für das drängwasser wie auf dem petriförder, wären jetzt nicht schlecht für die zollstraße. #magdeburg #hochwasser",1,0.026768488763444582
9873,9873,9873,"keine gebündelten kräfte mehr auf dem werder. geisterleer, nur vereinzelte #hochwasser -touristen und dunkle gestallten. #magdeburg",1,0.026768488763444582
9900,9900,9900,werd gleich ma ein video zum hochwasser 2013 hochladen!,0,0.026768488763444582
9943,9943,9943,"hier ist der werder, aber dort ist rothensee. meine gedanken sind jetzt auch da, denn auch da ist #magdeburg und #hochwasser!",0,0.026768488763444582
10047,10047,10047,tolkewitzer straße ab schaufußstr. richtung laubegast wieder frei. #infotweet #dresden #hochwasser,1,0.026768488763444582
10921,10921,10921,"on friday 7, #hochwasser was trending topic in munich for 8 hours: http://t.co/oj3lecjg2t",0,0.026768488763444582
11034,11034,11034,hier ist normalerweise mein weg für die abend-tour #hochwasser #eltville http://t.co/bekr1h2d7k,1,0.026768488763444582
11138,11138,11138,.@ericzim @ottostadt hier wird nix verteidigt! zu mindestens nordabschnitt #zollstraße! #magdeburg #hochwasser,1,0.026768488763444582
11160,11160,11160,"gleich noch mim fahrrad von homberg rüber fahren :d und scheiße bauen auf der mühlenweide, weil wegen hochwasser",0,0.026768488763444582
11390,11390,11390,erst werden wir alle hochwasser-experten und nun auch noch für umspannwerke. :-) #hochwasser #magdeburg,0,0.04706448561750405
11594,11594,11594,"sun, blue skies, singing, strawberries, singing, floods, singing nettle brew. read my blog. http://t.co/pmphc2ohni",0,0.1761069445245729
11774,11774,11774,es scheint wieder bewegung in die #hochwasser -bekämpfung auf dem werder zu kommen! #magdeburg,1,0.026768488763444582
11801,11801,11801,"@tmmd schlaf gut! hat dir schon jemand gesagt, dass du nen großartige job in diesem gottverdammten #hochwasser machst? #magdeburg #haltdurch",0,0.026768488763444582
12376,12376,12376,"immerhin, in wittenberg sinkt der pegel. #hochwasser",1,0.026768488763444582
12528,12528,12528,"gerade beschlossen: falls unser gully bedroht ist, stellen wir das alte klavier drauf, das wiegt extrem viel. #hochwasser",0,0.026768488763444582
12971,12971,12971,heftige bilder vom hochwasser. #zdf,0,0.026768488763444582
13187,13187,13187,nachdem ich heute 8 stunden sandsäcke mit meinen kameraden der feuerwehr fitzen gefüllt habe bleibt nur noch zu hoffen #elbehochwasser2013,1,0.026768488763444582
13274,13274,13274,letztes update für heute tag 5: http://t.co/eusst0ue7y #hochwasser #lostau - bilder erst später,1,0.026768488763444582
13947,13947,13947,eins zwei polizei (@ kulturdeich veddel w/ @derpat) http://t.co/ysc8huhcy8,0,0.12407799133266585
15050,15050,15050,es-news : http://t.co/whbmnr6om2: die hochwasser-katastrophe in einigen regionen unseres landes sorgt für eine... http://t.co/cw7vlb9u3r,0,0.026768488763444582
15111,15111,15111,"#gdv: #hochwasser – aktuelle meldungen, zahlen und #verbrauchertipps http://t.co/tazllfqzu8",0,0.026768488763444582
15403,15403,15403,@rostockerstern was feuern/feiern die? die flut?!?,0,0.1051156311549938
15718,15718,15718,"na toll, heute 3 dämme gebaut, zwei davon gebrochen... #hochwasser #magdeburg",1,0.026768488763444582
15762,15762,15762,nachher versucht klasse 10b der oskar linke sekundarschule noch zu helfen wo es geht #hochwasser #magdeburg,1,0.026768488763444582
15965,15965,15965,erstmal ein bisschen sand schippen. #hochwasser #magdeburg @ haltestelle listemannstraße http://t.co/jsr5uqwe7o,1,0.026768488763444582
16030,16030,16030,"leute die nicht der feuerwehr helfen, wenn hochwasser kommt ist so ...",0,0.026768488763444582
16229,16229,16229,after being a packing some sand bags (sacks) for #hochwasserschutz #magdeburg :) http://t.co/urqbwg2ylt,1,0.026768488763444582
16249,16249,16249,after packing some sand bags (sacks) for #hochwasserschutz #magdeburg :) http://t.co/ve6e9vcwmo,1,0.026768488763444582
16973,16973,16973,"@fibre0815 jo, katastrophenhilfe wg hochwasser. erst dresden, bitterfeld, dann magdeburg.",0,0.026768488763444582
16980,16980,16980,"so, seit 24 stunden auf den beinen und in der nacht zuvor auch nur 3 stunden schlaf gehabt. #hochwasser #fluthilfe",1,0.1318841199184384
17296,17296,17296,"bodensee-pegel: 457,7 cm! - http://t.co/60jsqkfacs - hochwasser-infos: http://t.co/pvdkmazfqh",1,0.026768488763444582
17320,17320,17320,mal schauen ob der re2 der odeg am sonntag durchfährt. #hochwasserhilfe kompliziert.nee nu doch nicht.am zoo ist b... http://t.co/ew1sgoz6ve,0,0.026768488763444582
17348,17348,17348,@nickhowardmusic what about a cheering tweet of ye? i helped all the night against the flood+the water in my hometown magdeburg...,1,0.1761069445245729
17399,17399,17399,"funkhaus, deich hält. http://t.co/xokgbagh2c",1,0.12407799133266585
17458,17458,17458,hochwasserhilfe und so... (@ barbie dreamhouse experience) http://t.co/hy4uu9kccv,0,0.026768488763444582
17460,17460,17460,jetzt umsteigen ins auto. anders kommt man bei den fahrplänen nicht zur #hochwasseraktion in der prignitz http://t.co/lhigltihup,1,0.026768488763444582
17637,17637,17637,das hochwasser hat den rekordpegel von 1.800… von 1843 erreicht. – nachrichtensprecherin auf inforadio im katastrophenrausch,1,0.026768488763444582
17677,17677,17677,bin noch was eingenickt. der traum war nicht schön. #hochwasser #hund #verletzt,0,0.026768488763444582
18445,18445,18445,#celiogermanydesk volunteers mount flood-prevention efforts http://t.co/bjzakksmxg,0,0.1761069445245729
18457,18457,18457,in #lostau werden jetzt die deiche mit flies verstärkt - am deich arbeiten jetzt nur nur noch einsatzkräfte #hochwaser,1,0.20270143721078626
18477,18477,18477,in #lostau werden aktuell noch 45.000 standsäcke benötigt #hochwasser,1,0.026768488763444582
18672,18672,18672,aktuelles foto aus #lostau #hochwasser http://t.co/n5ugbboea7,1,0.026768488763444582
18913,18913,18913,"ich wünsche den #hochwasser betroffenen weiterhin alles gute, und trotz alledem allen einen schönen #sonntag",0,0.026768488763444582
19092,19092,19092,hochwasserdeichbau in ation. in weisen kommt die elbe auf tuchfühlung. (@ deichbau am mangrovenwäldchen) [pic]: http://t.co/1tuvrzj5il,1,0.22946992597423085
19335,19335,19335,"auf geht s, sandsäcke füllen #hochwasser #magdeburg",1,0.026768488763444582
19428,19428,19428,es-news : http://t.co/whbmnr6om2: die hochwasserlage in passau hat sich weiter zugespitzt. am montagmorgen wurde... http://t.co/yk5xkrakzr,1,0.026768488763444582
19452,19452,19452,rt @mdr_san: #hochwasser: deichbruch an der saale bei klein rosenburg. http://t.co/achafdnnvx,1,0.15084648009611046
19497,19497,19497,passing through a bunch of the cities affected by last week s flood :( water levels aren t kidding around.. yikes,0,0.1761069445245729
19568,19568,19568,@_bennyott_ so viel hochwasser ist da eigentlich gar nicht mehr. ^^,1,0.026768488763444582
19659,19659,19659,#elbehochwasser geht allmählig zurück...,1,0.026768488763444582
19827,19827,19827,"ntv, wort des wochenende #sandsackunternehmer #hochwasser",0,0.3789823778125904
19855,19855,19855,"@ku_fan_1990 ah there is one thing i wanna tell you, we have the flood in germany...",0,0.1761069445245729
20696,20696,20696,in der listemannstr. stauen sich die paletten! #magdeburg ich bin stolz auf dich! #hochwasser,1,0.026768488763444582
20840,20840,20840,@nickhowardmusic what about a cheering tweet of ye? i helped all the night against the flood+the water in my hometown magdeburg.,1,0.1761069445245729
21103,21103,21103,pm: schwerpunkt hochwasser was leisten versicherer wirklich http://t.co/vyon52iykp,0,0.026768488763444582
21348,21348,21348,@dnn_online #germanophob ? schnappt diese geistig schwer minderbemittelten #idioten! und werft sie den flutopfern zum fraß vor!! #omg,0,0.1051156311549938
21422,21422,21422,"rt @monongahelamd: eilt !!!! """"@rohrwallpirat: wir brauchen kies und sandsäcke in #weisen. sonst säuft hier alles ab. please rt! #hochwasser""""",1,0.026768488763444582
21446,21446,21446,rt @radiodresden: #hochwasser #dresden aktuell: die b171 ist bei #schmiedeberg zwischen b170 und hennersdorf ... http://t.co/vw990cyvqb,1,0.026768488763444582
21850,21850,21850,unser aller im friedrich sollte nach #magdeburg kommen. das ist integration! #gemeinsam gegen das #hochwasser.,0,0.026768488763444582
21921,21921,21921,http://t.co/bssch1z0di #einsatz #hochwasser #feuerwehr #elbe,1,0.026768488763444582
22055,22055,22055,@_julianwagner_ ja hatte ich. aber es ist alles überflutet.,0,0.1051156311549938
22057,22057,22057,aktuelles zum elbehochwasser http://t.co/1exkucusjt #hochwasser #elbflut,0,0.15218011677249785
22116,22116,22116,der kleine ort weisen in der prignitz schippt gegen die flut an. kies und sandsäcke sind weiterhin knapp. #hochwasser,1,0.1318841199184384
22117,22117,22117,der kleine ort weisen in der prignitz schippt gegen die flut an. kies und sandsäcke sind weiterhin knapp. #hochwasser,1,0.1318841199184384
22168,22168,22168,"polizeisperren sind aufgehoben, damit auch die #evakuierung von #bitterfeld. #hochwasser",1,0.026768488763444582
22208,22208,22208,aktuelle wasserstände: die elbe steigt weiter rasant http://t.co/qqj3v8a4jj #elbflut #asb,1,0.1051156311549938
22300,22300,22300,aktuelles foto aus #lostau #hochwasser http://t.co/lf7p9yctw9,1,0.026768488763444582
22305,22305,22305,immer noch #hochwasser am starnberger see http://t.co/yswrpysf28,1,0.026768488763444582
22425,22425,22425,@jigsawslena hey #engel (: lieben gruß zurück!! kein #hochwasser dafür #sonne pur (: und bei euch ?! http://t.co/mmd1thorsx,0,0.026768488763444582
22443,22443,22443,"rt @freshbit: #pegel #meissen vom 09.06.2013 12:00 uhr: 8,41m #hochwasser #elbe",1,0.026768488763444582
22466,22466,22466,aktuelles video vom @mdr_san zur lade in #lostau und #altlostau #hochwasser http://t.co/wtauwwnxdr,0,0.026768488763444582
22682,22682,22682,erstmal mittagessen (warm!) besten dank an die versorger! #magdeburg #hochwasser,0,0.026768488763444582
22724,22724,22724,@kiraton aber es läuft wirklich beeindruckend trotz ausnahmesituation. #magdeburg #hochwasser,0,0.026768488763444582
22903,22903,22903,"bodensee-pegel: 456,7 cm! - http://t.co/60jsqkfacs - hochwasser-infos: http://t.co/pvdkmazfqh",1,0.026768488763444582
22910,22910,22910,nach dem mittag gegen das #jahrtausendhochwasser #kämpfen,1,0.026768488763444582
22922,22922,22922,und gegen die #flutopfer kämpfen,1,0.1051156311549938
23008,23008,23008,wenn mich jemand erreichen möchte: mobil: +49 151 5240 9831 #lostau #hochwasser,1,0.026768488763444582
23051,23051,23051,danke an @stephanbischoff fürs helfen hier am deich in #lostau #hochwasser,1,0.15084648009611046
23445,23445,23445,"in #lostau werden jetzt spitzhacken, schaufeln und spaten benötigt - so viele wie möglich (quelle: einsatzleiter) #hochwasser - am deich",1,0.15084648009611046
23551,23551,23551,update 13.45 uhr: http://t.co/v0waih6i3t #hochwasser #lostau,1,0.026768488763444582
23710,23710,23710,#hochwasser infos bitte lesen und teilen! http://t.co/ifecriidqs,0,0.026768488763444582
23818,23818,23818,sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/ifecriidqs #polizei weiterleiten!,0,0.026768488763444582
23933,23933,23933,"@cherubimu: #gauck und #merkel die nervigsten + störendsten zeitgenossen #hochwasser"""" da war noch die gelbe tonne #brüderle",0,0.026768488763444582
24111,24111,24111,#magdeburg östlich der elbe wird geräumt #hochwasser https://t.co/rryzxu6gvx,1,0.026768488763444582
24150,24150,24150,http://t.co/fyekhkbhi2 - ausschnitt aus dem ameisenhaufen in der listemannstr. #magdeburg #hochwasser #solidarität,1,0.026768488763444582
24220,24220,24220,"hochwasser am rhein... iiiih! jetzt inlineskaten, anachließend grillen, won t miss it!!! @ rheinpark http://t.co/itqvhd8kp1",0,0.026768488763444582
24315,24315,24315,andere kämpfen gegen die flut und wir sitzen schermützelsee. hier eine historische kanone ä http://t.co/y1z86hj5gb,0,0.1051156311549938
24497,24497,24497,気球にのるよ♡ (at @deichtorhallen) [pic]: http://t.co/ow1xo4qppk,0,0.12407799133266585
24674,24674,24674,"und nun eine busfahrt. die ist fein, weil #hochwasser und zug fährt nicht. (@ lutherstadt wittenberg hbf.) http://t.co/cd8epzt0lv",0,0.026768488763444582
24738,24738,24738,ich sehe schon die nächste flut kommen: http://t.co/4ssyfqfjik,0,0.1051156311549938
25044,25044,25044,"hochwasser"""" in berlin: havel uferwanderweg, bei kladow. http://t.co/my5z3ykofz",1,0.026768488763444582
25110,25110,25110,mein stadtteil ist zur evakuierung aufgerufen und hier ist alles ruhig. in meiner strasse geht niemand. #hochwasser #magdeburg,1,0.026768488763444582
25143,25143,25143,das #hochwasser ist fast weg. jetzt sieht man erst die richtigen schäden in #zeitz und umgebung,1,0.026768488763444582
25612,25612,25612,pm: lvz: linkspartei: kosten der flutkatastrophe mit einem sonderopfer ... http://t.co/y0kgfhihj3,0,0.1051156311549938
25626,25626,25626,"ich finde es übrigens daneben, dass @db_bahn keine sondertickets für #hochwasser-helfer zur verfügung stellt.",0,0.026768488763444582
25677,25677,25677,echte freunde in der not: auch us-soldaten helfen beim #hochwasser in #deggendorf! morgen mehr im #zdfmorgenmagazin http://t.co/mlu4xwo0sm,1,0.026768488763444582
25998,25998,25998,pm: mehr als 75.000 feuerwehrleute in der flutabwehr / überlandhilfe m ... http://t.co/vltpjfy1ut,0,0.1051156311549938
26126,26126,26126,"sehr geil, dass schenker, gls, ups, dpd usw ihre transporter für sandsäcke zur verfügung stellen. danke! #hochwasser",1,0.026768488763444582
26222,26222,26222,#hohnstorf die flut kommt. @ hohnstorf http://t.co/t5ifzmxjnn,1,0.1051156311549938
26254,26254,26254,flood is passing by. #lauf #pegnitz (@ am steg) [pic]: http://t.co/piagef9aio,0,0.1761069445245729
26299,26299,26299,#hohnstorf #elbe #flut #2013 @ hohnstorf http://t.co/umzeh7fx1j,1,0.1051156311549938
26336,26336,26336,deichbruch südlich von magdeburg. :/,1,0.12407799133266585
26381,26381,26381,schippen gegen die hochflut in weisen. (@ abschleppdienst gührs) [pic]: http://t.co/svtwevzo1x,1,0.1051156311549938
26638,26638,26638,#hohnstorf #elbe #flut #hochwasser #2013 @ hohnstorf http://t.co/prpwlbg29z,1,0.1318841199184384
26682,26682,26682,#hochwasser shows up at this time as trend in germany http://t.co/kd2p1txq0b,0,0.026768488763444582
26970,26970,26970,update: tag 6 #hochwasser #lostau http://t.co/v0waih6i3t,1,0.026768488763444582
27099,27099,27099,"keine ahnung, bin auf der sandsackfüllstation in der listemannstr. #magdeburg #hochwasser",1,0.3789823778125904
27103,27103,27103,"@schotterplaggel wow! ich bin froh, dass das hochwasser endlich wieder sinkt. zeit wirds :)",1,0.026768488763444582
27122,27122,27122,"#dtm: itr to donate €300,000 (€100,000 each) to eastern german towns #meissen, #pirna and #herzberg affected by severe flooding. #solidarity",0,0.1761069445245729
27154,27154,27154,#hochwasser bedroht #magdeburg - damm gebrochen http://t.co/jkw8snhue4 via @newsrepublic,1,0.026768488763444582
27201,27201,27201,bei #hochwasser fährt die #bahn auch langsamer über die #elbe bei #stendal ..jetzt stehe ich in spandau und warte ...,0,0.026768488763444582
27794,27794,27794,@mzwebde @elbstromer sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/ifecriidqs,0,0.026768488763444582
27812,27812,27812,@twitter_de sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/ifecriidqs,0,0.026768488763444582
27831,27831,27831,@sachsenanhalt sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/ifecriidqs,0,0.026768488763444582
27838,27838,27838,@mz_koethen sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/ifecriidqs,0,0.026768488763444582
27869,27869,27869,"rt @freshbit: #pegel #meissen vom 09.06.2013 16:00 uhr: 8,31m #hochwasser #elbe",1,0.026768488763444582
27870,27870,27870,aktuelles bild aus #lostau #hochwasser http://t.co/pjjzmu4ahj,1,0.026768488763444582
27917,27917,27917,@mz_koethen sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27923,27923,27923,das wasser erreicht jetzt schon die verpflegungsstation der helfer in #lostau #hochwasser,1,0.026768488763444582
27931,27931,27931,@mdrsputnik sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27937,27937,27937,ein großes danke an alle die hunderten helfer die seit tagen (nicht nur) in #lostau im einsatz sind! #hochwasser,0,0.026768488763444582
27944,27944,27944,@schulzstep sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27952,27952,27952,@mdr_san sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27956,27956,27956,@mz_jessen sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27965,27965,27965,@afraskaikuku sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27978,27978,27978,@mz_wittenberg sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27980,27980,27980,@kiezkino sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27989,27989,27989,@halleon_de sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
27998,27998,27998,@rottenhedgehog sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28005,28005,28005,@stadt_halle sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28012,28012,28012,#frankfurt praunheim überflutet. steinbach tritt nach verstopfung über die ufer. großeinsatz der #feuerwehr.,1,0.1051156311549938
28037,28037,28037,@ottostadt sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28043,28043,28043,ruppiges ende mit kartenflut. endstand 8:0,0,0.1051156311549938
28060,28060,28060,@tmmd sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28072,28072,28072,@lvzonline sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28078,28078,28078,@suddeutsche sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28087,28087,28087,@spiegelonline sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28093,28093,28093,@ntvde sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28099,28099,28099,@dw_deutsch sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28105,28105,28105,@sternde sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28106,28106,28106,@magdeburg sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28114,28114,28114,@magdeburg_news sicherheitsrelevante informationen zum #hochwasser an #saale und #elbe bitte lesen und teilen! http://t.co/mieqerhfrh,0,0.026768488763444582
28247,28247,28247,#hochwasser #magdeburg turmschanzenstraße http://t.co/u6q4m5cxoo,1,0.026768488763444582
28351,28351,28351,video aus der region #danmatz #feuerwehr #hochwasser http://t.co/5etojm36pp,0,0.026768488763444582
28370,28370,28370,neuigkeiten aus #lostau 17 uhr: text http://t.co/v0waih6i3t fotos: http://t.co/exfgu7x0me #hochwasser,1,0.026768488763444582
28549,28549,28549,#hochwasser #magdeburg am umspannwerk knietief http://t.co/j9le8zvaoh,1,0.026768488763444582
